type,category,question,option1,option2,option3,option4,option5,correctAnswer,explanation
MULTIPLE_CHOICE,Science,Which blood type is known as the universal donor?,O negative,AB positive,A positive,B negative,,O negative,"O negative red cells carry none of the main antigens, so almost any patient can receive them in an emergency."
MULTIPLE_CHOICE,Science,Which element is the most abundant in the Earth's crust by mass?,Oxygen,Iron,Silicon,Aluminium,,Oxygen,"Oxygen makes up roughly 46 percent of the crust, locked away in silicates and oxides rather than floating around as gas."
MULTIPLE_CHOICE,Science,Which subatomic particle was identified first?,The electron,The proton,The neutron,The positron,,The electron,"J. J. Thomson pinned down the electron in 1897, decades before the neutron turned up in 1932."
TRUE_FALSE,Science,Sound travels faster through water than through air.,True,False,,,,True,"Sound moves at about 1,500 metres per second in water, roughly four times its speed in air, because water is far less squishy."
SLIDER,Science,"On average, how many thousands of kilometres is the Moon from Earth?",50,700,10,330,440,"About 384,000 km","The Moon orbits at an average 384,400 km, far enough that every planet in the solar system could be lined up in the gap."
MULTIPLE_CHOICE,History,The Rosetta Stone was the key to deciphering which ancient writing system?,Egyptian hieroglyphs,Sumerian cuneiform,Mayan glyphs,Linear B,,Egyptian hieroglyphs,The same decree carved in Greek and two Egyptian scripts let scholars finally crack hieroglyphs in the 1820s.
MULTIPLE_CHOICE,History,"The Treaty of Ghent, signed in 1814, ended which conflict?",The War of 1812,The Seven Years War,The Crimean War,The American Revolution,,The War of 1812,News travelled so slowly that the Battle of New Orleans was fought two weeks after peace had already been signed.
MULTIPLE_CHOICE,History,Who is traditionally named as the last emperor of the Western Roman Empire?,Romulus Augustulus,Honorius,Valentinian III,Constantine XI,,Romulus Augustulus,A teenager whose name combined Rome's legendary founder and its first emperor was deposed in 476.
TRUE_FALSE,History,The Great Fire of London in 1666 officially recorded fewer than ten deaths.,True,False,,,,True,"Only a handful of deaths were ever recorded, though the fire destroyed some 13,000 houses."
PUZZLE,History,"Put these events in chronological order, earliest first.",Magna Carta is sealed at Runnymede,The Black Death reaches England,Constantinople falls to the Ottomans,Columbus reaches the Caribbean,,Magna Carta is sealed at Runnymede|The Black Death reaches England|Constantinople falls to the Ottomans|Columbus reaches the Caribbean,"The run goes 1215, 1348, 1453 and 1492, so the Middle Ages ended with two hammer blows just 39 years apart."
MULTIPLE_CHOICE,Geography,Which of these South American countries is landlocked?,Peru,Bolivia,Ecuador,Venezuela,,Bolivia,Bolivia lost its coastline to Chile in the 19th century and still keeps a navy on Lake Titicaca.
MULTIPLE_CHOICE,Geography,Which African country is completely surrounded by South Africa?,Eswatini,Botswana,Lesotho,Namibia,,Lesotho,"Lesotho is one of only three countries entirely enclosed by a single neighbour, along with San Marino and Vatican City."
MULTIPLE_CHOICE,Geography,Which African country shares land borders with the most other countries?,Sudan,Democratic Republic of the Congo,Algeria,Nigeria,,Democratic Republic of the Congo,"The DR Congo touches nine neighbours, from Angola in the south-west all the way round to South Sudan."
TRUE_FALSE,Geography,The northernmost point of mainland Africa lies further north than the southernmost point of mainland Europe.,True,False,,,,True,"Cape Angela in Tunisia sits above 37 degrees north, while Spain's Punta de Tarifa is just under 36 degrees."
SLIDER,Geography,"How deep is Challenger Deep, the lowest known point of the ocean, in metres?",4000,16000,100,9800,12000,"About 10,935 metres","Challenger Deep in the Mariana Trench is roughly 10,935 metres down, deep enough to swallow Everest with a mile to spare."
MULTIPLE_CHOICE,Pop Culture,Whose record-shattering concert film was titled The Eras Tour?,Beyonce,Taylor Swift,Billie Eilish,Olivia Rodrigo,,Taylor Swift,"The Eras Tour film opened in October 2023 and became the highest-grossing concert movie ever, spanning Taylor Swift's whole back catalogue."
MULTIPLE_CHOICE,Pop Culture,Which video game hero was originally known simply as Jumpman?,Sonic the Hedgehog,Link,Mario,Mega Man,,Mario,"He was Jumpman in 1981's Donkey Kong before Nintendo renamed him Mario, reportedly after their US warehouse landlord."
MULTIPLE_CHOICE,Pop Culture,"In The Simpsons, what was the name of Ned Flanders' late wife?",Maude,Edna,Helen,Agnes,,Maude,"Maude Flanders was killed by a T-shirt cannon at a racetrack in 2000, written out after a contract dispute with her voice actor."
TRUE_FALSE,Pop Culture,James Earl Jones went uncredited as the voice of Darth Vader when the first Star Wars was released.,True,False,,,,True,"He felt the role was really David Prowse's body work and asked for no credit, only taking one from The Empire Strikes Back onwards."
TYPE_ANSWER,Pop Culture,"Which director made Pulp Fiction, Jackie Brown and Kill Bill?",Quentin Tarantino,Tarantino,Quinten Tarantino,,,Quentin Tarantino,Quentin Tarantino famously learned his craft behind the counter of a California video rental shop rather than at film school.
MULTIPLE_CHOICE,Sports,"In ten-pin bowling, what is the nickname for three strikes in a row?",Turkey,Hat-trick,Hammer,Split,,Turkey,The name is said to come from 19th-century tournaments that handed out live turkeys as prizes for three strikes.
MULTIPLE_CHOICE,Sports,The FIVB is the international governing body for which Olympic sport?,Volleyball,Fencing,Water polo,Weightlifting,,Volleyball,"FIVB stands for Federation Internationale de Volleyball, which also runs the beach version of the game."
MULTIPLE_CHOICE,Sports,Which nation has won the most Olympic gold medals in field hockey?,India,Netherlands,Australia,Pakistan,,India,"India has eight hockey golds, including six in a row from 1928 to 1956."
TRUE_FALSE,Sports,The Olympic marathon has always been run over the modern distance of 26.2 miles.,True,False,,,,False,"Early Olympic marathons ranged from about 24 to 26 miles, and 26 miles 385 yards was only fixed as standard from 1924."
SLIDER,Sports,How many stitches are there on a standard Major League Baseball?,50,200,2,96,120,108,Every big-league ball is hand-stitched with exactly 108 double stitches of waxed red thread.
MULTIPLE_CHOICE,Tech,"In computing, what does USB stand for?",Universal Serial Bus,Universal System Bus,Unified Serial Board,Universal Storage Bus,,Universal Serial Bus,Universal Serial Bus arrived in 1996 to replace the tangle of ports on the back of every PC.
MULTIPLE_CHOICE,Tech,"What was the first item ever sold on eBay, back in 1995?",A broken laser pointer,A used Macintosh,A Beanie Baby,A signed baseball,,A broken laser pointer,"It went for 14.83 dollars, and the buyer confirmed he collected broken laser pointers on purpose."
MULTIPLE_CHOICE,Tech,The world's first webcam was set up at Cambridge University to watch what?,A coffee pot,A fish tank,A car park barrier,A lab door,,A coffee pot,The Trojan Room coffee pot was filmed so researchers could avoid climbing stairs to find an empty jug.
TRUE_FALSE,Tech,"The first message sent over ARPANET failed partway through, so only two letters arrived.",True,False,,,,True,"They tried to send LOGIN in 1969 but the system crashed after LO, making it the internet's first accidental greeting."
PUZZLE,Tech,"Put these gadgets in order of their original release, earliest first.",Sony Walkman,Nintendo Game Boy,Apple iPod,Amazon Kindle,,Sony Walkman|Nintendo Game Boy|Apple iPod|Amazon Kindle,"Walkman 1979, Game Boy 1989, iPod 2001 and Kindle 2007 - roughly a decade apart each time, until the 2000s sped up."
MULTIPLE_CHOICE,Art,Which artist painted the melting pocket watches of The Persistence of Memory?,Salvador Dali,Pablo Picasso,Rene Magritte,Joan Miro,,Salvador Dali,Dali said the drooping watches were inspired by camembert cheese softening in the sun.
